City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Meulaboh,ID,4.1363,96.1285,76.28,90,94,4.65,overcast clouds
271,Awbari,LY,26.5921,12.7805,88.27,19,2,8.75,clear sky
272,Hailin,CN,44.5833,129.4167,69.73,97,74,1.21,broken clouds
273,Arlit,NE,18.7369,7.3853,99.18,18,38,11.72,scattered clouds
274,Mokhsogollokh,RU,61.4681,128.9203,64.44,88,100,3.44,light rain
275,Tayga,RU,56.06,85.6197,63.52,97,75,2.35,broken clouds
276,Ivanava,BY,52.1451,25.5365,61.34,94,100,7.63,overcast clouds
277,Hambantota,LK,6.1241,81.1185,78.49,86,100,17.56,heavy intensity rain
278,Iracoubo,GF,5.4802,-53.2011,80.94,77,15,7.27,few clouds
279,Gunzburg,DE,48.45,10.2667,73.94,65,88,7.85,overcast clouds
280,Harper,LR,4.375,-7.7169,75.43,80,100,13.2,overcast clouds
281,Pangai,TO,-19.8,-174.35,77.29,86,26,15.17,scattered clouds
282,Timra,SE,62.487,17.3257,60.67,94,40,2.3,scattered clouds
283,Kalmunai,LK,7.4167,81.8167,78.44,86,100,8.97,overcast clouds
284,Gwanda,ZW,-20.9333,29.0,61.47,22,6,7.65,clear sky
285,Vao,NC,-22.6667,167.4833,69.08,75,100,25.28,overcast clouds
286,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,90.72,24,1,7.83,clear sky
287,Athabasca,CA,54.7169,-113.2854,72.68,54,99,4.32,overcast clouds
288,Tabory,RU,58.5198,64.5495,54.75,90,94,5.66,overcast clouds
289,Nagod,IN,24.5667,80.6,81.45,75,96,7.83,overcast clouds
290,Ancud,CL,-41.8697,-73.8203,45.23,79,100,1.54,overcast clouds
291,Liuzhou,CN,24.3126,109.3892,78.8,79,24,4.05,few clouds
292,Montana,BG,43.4125,23.225,68.58,52,0,6.22,clear sky
293,Acapulco,MX,16.8634,-99.8901,87.62,66,40,9.22,scattered clouds
294,Gat,IL,31.61,34.7642,79.48,70,5,2.19,clear sky
295,Kodiak,US,57.79,-152.4072,60.31,77,100,3.44,overcast clouds
296,Port Lincoln,AU,-34.7333,135.8667,52.95,77,3,13.58,clear sky
297,Storforshei,NO,66.4043,14.5233,57.65,87,75,2.3,broken clouds
298,Kang,BW,-23.6752,22.7876,58.32,27,60,8.79,broken clouds
299,Saint-Francois,FR,46.4154,3.9054,71.04,56,0,0.0,clear sky
300,Libreville,GA,0.3925,9.4537,76.21,80,47,11.56,scattered clouds
301,Mahibadhoo,MV,3.7833,72.9667,78.46,82,100,32.35,heavy intensity rain
302,Lorengau,PG,-2.0226,147.2712,82.53,75,100,10.02,overcast clouds
303,Logan,US,41.7355,-111.8344,99.25,28,0,4.0,clear sky
304,Pevek,RU,69.7008,170.3133,46.72,67,0,11.79,clear sky
305,Gamba,GA,-2.65,10.0,71.06,96,9,7.72,clear sky
306,Lazaro Cardenas,MX,17.9583,-102.2,86.85,62,59,11.81,broken clouds
307,Turukhansk,RU,65.8167,87.9833,47.17,80,99,15.66,light rain
308,Swan River,CA,52.1058,-101.2676,69.57,59,37,3.11,scattered clouds
309,Palmas,BR,-10.2128,-48.3603,89.47,35,0,2.3,clear sky
310,Phangnga,TH,8.4509,98.5298,82.44,93,100,2.57,moderate rain
311,Raudeberg,NO,61.9875,5.1352,52.47,79,96,6.24,overcast clouds
312,Kadnikov,RU,59.5022,40.338,52.05,86,7,3.87,clear sky
